riesgoso,simbolizacion,perdidas_normalizadas,hecho,tipo_combustible,aspiracion,num_puertas,estilo_cuerpo,ruedas_motrices,ubicacion_motor,rueda_base,largo,ancho,altura,peso_en_vacío,tipo_motor,num_de_cilindros,tamanio_motor,sistema_de_combustible,diametro_cilindro,recorrido_piston,relacion_compresion,caballos_fuerza,rpm_maximo,consumo_ciudad_mpg,consumo_carretera_mpg,precio
,2,192,bmw,gas,std,two,sedan,rwd,front,101.20,176.80,64.80,54.30,2.395,ohc,four,108,mpfi,"3,50","2,80","8,80",101,5.800,23,29,"16.430,00"
,0,192,bmw,gas,std,four,sedan,rwd,front,101.20,176.80,64.80,54.30,2.395,ohc,four,108,mpfi,"3,50","2,80","8,80",101,5.800,23,29,"16.925,00"
,0,188,bmw,gas,std,two,sedan,rwd,front,101.20,176.80,64.80,54.30,2.710,ohc,six,164,mpfi,"3,31","3,19","9,00",121,4.250,21,28,"20.970,00"
,0,188,bmw,gas,std,four,sedan,rwd,front,101.20,176.80,64.80,54.30,2.765,ohc,six,164,mpfi,"3,31","3,19","9,00",121,4.250,21,28,"21.105,00"
,1,,bmw,gas,std,four,sedan,rwd,front,103.50,189.00,66.90,55.70,3.055,ohc,six,164,mpfi,"3,31","3,19","9,00",121,4.250,20,25,"24.565,00"
,0,,bmw,gas,std,four,sedan,rwd,front,103.50,189.00,66.90,55.70,3.230,ohc,six,209,mpfi,"3,62","3,39","8,00",182,5.400,16,22,"30.760,00"
,0,,bmw,gas,std,two,sedan,rwd,front,103.50,193.80,67.90,53.70,3.380,ohc,six,209,mpfi,"3,62","3,39","8,00",182,5.400,16,22,"41.315,00"
,0,,bmw,gas,std,four,sedan,rwd,front,110.00,197.00,70.90,56.30,3.505,ohc,six,209,mpfi,"3,62","3,39","8,00",182,5.400,15,20,"36.880,00"
,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.40,141.10,60.30,53.20,1.488,l,three,61,2bbl,"2,91","45,354,00","9,50",48,5.100,47,53,"5.151,00"
,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.50,155.90,63.60,52.00,1.874,ohc,four,90,2bbl,"45,354,00","45,599,00","9,60",70,5.400,38,43,"6.295,00"
,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.50,158.80,63.60,52.00,1.909,ohc,four,90,2bbl,"45,354,00","45,599,00","9,60",70,5.400,38,43,"6.575,00"
,1,118,dodge,gas,std,two,hatchback,fwd,front,93.70,157.30,63.80,50.80,1.876,ohc,four,90,2bbl,"2,97","3,23","9,41",68,5.500,37,41,"5.572,00"
,1,118,dodge,gas,std,two,hatchback,fwd,front,93.70,157.30,63.80,50.80,1.876,ohc,four,90,2bbl,"2,97","3,23","9,40",68,5.500,31,38,"6.377,00"
,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.70,157.30,63.80,50.80,2.128,ohc,four,98,mpfi,"45,354,00","3,39","7,60",102,5.500,24,30,"7.957,00"
,1,148,dodge,gas,std,four,hatchback,fwd,front,93.70,157.30,63.80,50.60,1.967,ohc,four,90,2bbl,"2,97","3,23","9,40",68,5.500,31,38,"6.229,00"
,1,148,dodge,gas,std,four,sedan,fwd,front,93.70,157.30,63.80,50.60,1.989,ohc,four,90,2bbl,"2,97","3,23","9,40",68,5.500,31,38,"6.692,00"
,1,148,dodge,gas,std,four,sedan,fwd,front,93.70,157.30,63.80,50.60,1.989,ohc,four,90,2bbl,"2,97","3,23","9,40",68,5.500,31,38,"7.609,00"
,1,148,dodge,gas,turbo,,sedan,fwd,front,93.70,157.30,63.80,50.60,2.191,ohc,four,98,mpfi,"45,354,00","3,39","7,60",102,5.500,24,30,"8.558,00"
,-1,110,dodge,gas,std,four,wagon,fwd,front,103.30,174.60,64.60,59.80,2.535,ohc,four,122,2bbl,"3,34","3,46","8,50",88,5.000,24,30,"8.921,00"
,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.90,173.20,66.30,50.20,2.811,ohc,four,156,mfi,"3,60","3,90","7,00",145,5.000,19,24,"12.964,00"
,2,137,honda,gas,std,two,hatchback,fwd,front,86.60,144.60,63.90,50.80,1.713,ohc,four,92,1bbl,"2,91","3,41","9,60",58,4.800,49,54,"6.479,00"
,2,137,honda,gas,std,two,hatchback,fwd,front,86.60,144.60,63.90,50.80,1.819,ohc,four,92,1bbl,"2,91","3,41","9,20",76,6.000,31,38,"6.855,00"
,1,101,honda,gas,std,two,hatchback,fwd,front,93.70,150.00,64.00,52.60,1.837,ohc,four,79,1bbl,"2,91","45,476,00","45,575,00",60,5.500,38,42,"5.399,00"
,1,101,honda,gas,std,two,hatchback,fwd,front,93.70,150.00,64.00,52.60,1.940,ohc,four,92,1bbl,"2,91","3,41","9,20",76,6.000,30,34,"6.529,00"
,1,101,honda,gas,std,two,hatchback,fwd,front,93.70,150.00,64.00,52.60,1.956,ohc,four,92,1bbl,"2,91","3,41","9,20",76,6.000,30,34,"7.129,00"
,0,110,honda,gas,std,four,sedan,fwd,front,96.50,163.40,64.00,54.50,2.010,ohc,four,92,1bbl,"2,91","3,41","9,20",76,6.000,30,34,"7.295,00"
,0,78,honda,gas,std,four,wagon,fwd,front,96.50,157.10,63.90,58.30,2.024,ohc,four,92,1bbl,"2,92","3,41","9,20",76,6.000,30,34,"7.295,00"
,0,106,honda,gas,std,two,hatchback,fwd,front,96.50,167.50,65.20,53.30,2.236,ohc,four,110,1bbl,"3,15","3,58","9,00",86,5.800,27,33,"7.895,00"
,0,106,honda,gas,std,two,hatchback,fwd,front,96.50,167.50,65.20,53.30,2.289,ohc,four,110,1bbl,"3,15","3,58","9,00",86,5.800,27,33,"9.095,00"
,0,85,honda,gas,std,four,sedan,fwd,front,96.50,175.40,65.20,54.10,2.304,ohc,four,110,1bbl,"3,15","3,58","9,00",86,5.800,27,33,"8.845,00"
,0,85,honda,gas,std,four,sedan,fwd,front,96.50,175.40,62.50,54.10,2.372,ohc,four,110,1bbl,"3,15","3,58","9,00",86,5.800,27,33,"10.295,00"
,0,85,honda,gas,std,four,sedan,fwd,front,96.50,175.40,65.20,54.10,2.465,ohc,four,110,mpfi,"3,15","3,58","9,00",101,5.800,24,28,"12.945,00"
,1,107,honda,gas,std,two,sedan,fwd,front,96.50,169.10,66.00,51.00,2.293,ohc,four,110,2bbl,"3,15","3,58","45,574,00",100,5.500,25,31,"10.345,00"
,0,,isuzu,gas,std,four,sedan,rwd,front,94.30,170.70,61.80,53.50,2.337,ohc,four,111,2bbl,"3,31","3,23","8,50",78,4.800,24,29,"6.785,00"
,1,,isuzu,gas,std,two,sedan,fwd,front,94.50,155.90,63.60,52.00,1.874,ohc,four,90,2bbl,"45,354,00","45,599,00","9,60",70,5.400,38,43,
,0,,isuzu,gas,std,four,sedan,fwd,front,94.50,155.90,63.60,52.00,1.909,ohc,four,90,2bbl,"45,354,00","45,599,00","9,60",70,5.400,38,43,
,2,,isuzu,gas,std,two,hatchback,rwd,front,96.00,172.60,65.20,51.40,2.734,ohc,four,119,spfi,"3,43","3,23","9,20",90,5.000,24,29,"11.048,00"
,0,145,jaguar,gas,std,four,sedan,rwd,front,113.00,199.60,69.60,52.80,4.066,dohc,six,258,mpfi,"3,63","4,17","45,573,00",176,4.750,15,19,"32.250,00"
,0,,jaguar,gas,std,four,sedan,rwd,front,113.00,199.60,69.60,52.80,4.066,dohc,six,258,mpfi,"3,63","4,17","45,573,00",176,4.750,15,19,"35.550,00"
,0,,jaguar,gas,std,two,sedan,rwd,front,102.00,191.70,70.60,47.80,3.950,ohcv,twelve,326,mpfi,"3,54","2,76","11,50",262,5.000,13,17,"36.000,00"
,1,104,mazda,gas,std,two,hatchback,fwd,front,93.10,159.10,64.20,54.10,1.890,ohc,four,91,2bbl,"45,354,00","3,15","9,00",68,5.000,30,31,"5.195,00"
,1,104,mazda,gas,std,two,hatchback,fwd,front,93.10,159.10,64.20,54.10,1.900,ohc,four,91,2bbl,"45,354,00","3,15","9,00",68,5.000,31,38,"6.095,00"
,1,104,mazda,gas,std,two,hatchback,fwd,front,93.10,159.10,64.20,54.10,1.905,ohc,four,91,2bbl,"45,354,00","3,15","9,00",68,5.000,31,38,"6.795,00"
,1,113,mazda,gas,std,four,sedan,fwd,front,93.10,166.80,64.20,54.10,1.945,ohc,four,91,2bbl,"45,354,00","3,15","9,00",68,5.000,31,38,"6.695,00"
,1,113,mazda,gas,std,four,sedan,fwd,front,93.10,166.80,64.20,54.10,1.950,ohc,four,91,2bbl,"45,507,00","3,15","9,00",68,5.000,31,38,"7.395,00"
,3,150,mazda,gas,std,two,hatchback,rwd,front,95.30,169.00,65.70,49.60,2.380,rotor,two,70,4bbl,,,"9,40",101,6.000,17,23,"10.945,00"
,3,150,mazda,gas,std,two,hatchback,rwd,front,95.30,169.00,65.70,49.60,2.380,rotor,two,70,4bbl,,,"9,40",101,6.000,17,23,"11.845,00"
,3,150,mazda,gas,std,two,hatchback,rwd,front,95.30,169.00,65.70,49.60,2.385,rotor,two,70,4bbl,,,"9,40",101,6.000,17,23,"13.645,00"
,3,150,mazda,gas,std,two,hatchback,rwd,front,95.30,169.00,65.70,49.60,2.500,rotor,two,80,mpfi,,,"9,40",135,6.000,16,23,"15.645,00"
,1,129,mazda,gas,std,two,hatchback,fwd,front,98.80,177.80,66.50,53.70,2.385,ohc,four,122,2bbl,"3,39","3,39","8,60",84,4.800,26,32,"8.845,00"
,0,115,mazda,gas,std,four,sedan,fwd,front,98.80,177.80,66.50,55.50,2.410,ohc,four,122,2bbl,"3,39","3,39","8,60",84,4.800,26,32,"8.495,00"
,1,129,mazda,gas,std,two,hatchback,fwd,front,98.80,177.80,66.50,53.70,2.385,ohc,four,122,2bbl,"3,39","3,39","8,60",84,4.800,26,32,"10.595,00"
,0,115,mazda,gas,std,four,sedan,fwd,front,98.80,177.80,66.50,55.50,2.410,ohc,four,122,2bbl,"3,39","3,39","8,60",84,4.800,26,32,"10.245,00"
,0,,mazda,diesel,std,,sedan,fwd,front,98.80,177.80,66.50,55.50,2.443,ohc,four,122,idi,"3,39","3,39","22,70",64,4.650,36,42,"10.795,00"
,0,115,mazda,gas,std,four,hatchback,fwd,front,98.80,177.80,66.50,55.50,2.425,ohc,four,122,2bbl,"3,39","3,39","8,60",84,4.800,26,32,"11.245,00"
,0,118,mazda,gas,std,four,sedan,rwd,front,104.90,175.00,66.10,54.40,2.670,ohc,four,140,mpfi,"3,76","3,16","8,00",120,5.000,19,27,"18.280,00"
,0,,mazda,diesel,std,four,sedan,rwd,front,104.90,175.00,66.10,54.40,2.700,ohc,four,134,idi,"3,43","3,64","22,00",72,4.200,31,39,"18.344,00"
,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.00,190.90,70.30,56.50,3.515,ohc,five,183,idi,"3,58","3,64","21,50",123,4.350,22,25,"25.552,00"
,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.00,190.90,70.30,58.70,3.750,ohc,five,183,idi,"3,58","3,64","21,50",123,4.350,22,25,"28.248,00"
,0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.70,187.50,70.30,54.90,3.495,ohc,five,183,idi,"3,58","3,64","21,50",123,4.350,22,25,"28.176,00"
,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.60,202.60,71.70,56.30,3.770,ohc,five,183,idi,"3,58","3,64","21,50",123,4.350,22,25,"31.600,00"
,-1,,mercedes-benz,gas,std,four,sedan,rwd,front,115.60,202.60,71.70,56.50,3.740,ohcv,eight,234,mpfi,"3,46","45,568,00","8,30",155,4.750,16,18,"34.184,00"
,3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.60,180.30,70.50,50.80,3.685,ohcv,eight,234,mpfi,"3,46","45,568,00","8,30",155,4.750,16,18,"35.056,00"
,0,,mercedes-benz,gas,std,four,sedan,rwd,front,120.90,208.10,71.70,56.70,3.900,ohcv,eight,308,mpfi,"3,80","3,35","8,00",184,4.500,14,16,"40.960,00"
,1,,mercedes-benz,gas,std,two,hardtop,rwd,front,112.00,199.20,72.00,55.40,3.715,ohcv,eight,304,mpfi,"3,80","3,35","8,00",184,4.500,14,16,"45.400,00"
,1,,mercury,gas,turbo,two,hatchback,rwd,front,102.70,178.40,68.00,54.80,2.910,ohc,four,140,mpfi,"3,78","45,629,00","8,00",175,5.000,19,24,"16.503,00"
,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.70,157.30,64.40,50.80,1.918,ohc,four,92,2bbl,"2,97","3,23","9,40",68,5.500,37,41,"5.389,00"
,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.70,157.30,64.40,50.80,1.944,ohc,four,92,2bbl,"2,97","3,23","9,40",68,5.500,31,38,"6.189,00"
,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.70,157.30,64.40,50.80,2.004,ohc,four,92,2bbl,"2,97","3,23","9,40",68,5.500,31,38,"6.669,00"
,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,"93,00",157.30,63.80,50.80,2.145,ohc,four,98,spdi,"45,354,00","3,39","7,60",102,5.500,24,30,"7.689,00"
,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.30,173.00,65.40,49.40,2.370,ohc,four,110,spdi,"3,17","3,46","7,50",116,5.500,23,30,"9.959,00"
,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.30,173.00,65.40,49.40,2.328,ohc,four,122,2bbl,"3,35","3,46","8,50",88,5.000,25,32,"8.499,00"
,3,,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.90,173.20,66.30,50.20,2.833,ohc,four,156,spdi,"3,58","3,86","7,00",145,5.000,19,24,"12.629,00"
,3,,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.90,173.20,66.30,50.20,2.921,ohc,four,156,spdi,"3,59","3,86","7,00",145,5.000,19,24,"14.869,00"
,3,,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.90,173.20,66.30,50.20,2.926,ohc,four,156,spdi,"3,59","3,86","7,00",145,5.000,19,24,"14.489,00"
,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.30,172.40,65.40,51.60,2.365,ohc,four,122,2bbl,"3,35","3,46","8,50",88,5.000,25,32,"6.989,00"
,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.30,172.40,65.40,51.60,2.405,ohc,four,122,2bbl,"3,35","3,46","8,50",88,5.000,25,32,"8.189,00"
,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.30,172.40,65.40,51.60,2.403,ohc,four,110,spdi,"3,17","3,46","7,50",116,5.500,23,30,"9.279,00"
,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.30,172.40,65.40,51.60,2.403,ohc,four,110,spdi,"3,17","3,46","7,50",116,5.500,23,30,"9.279,00"
,1,128,nissan,gas,std,two,sedan,fwd,front,94.50,165.30,63.80,54.50,1.889,ohc,four,97,2bbl,"3,15","3,29","9,40",69,5.200,31,37,"5.499,00"
,1,128,nissan,diesel,std,two,sedan,fwd,front,94.50,165.30,63.80,54.50,2.017,ohc,four,103,idi,"2,99","3,47","21,90",55,4.800,45,50,"7.099,00"
,1,128,nissan,gas,std,two,sedan,fwd,front,94.50,165.30,63.80,54.50,1.918,ohc,four,97,2bbl,"3,15","3,29","9,40",69,5.200,31,37,"6.649,00"
,1,122,nissan,gas,std,four,sedan,fwd,front,94.50,165.30,63.80,54.50,1.938,ohc,four,97,2bbl,"3,15","3,29","9,40",69,5.200,31,37,"6.849,00"
,1,103,nissan,gas,std,four,wagon,fwd,front,94.50,170.20,63.80,53.50,2.024,ohc,four,97,2bbl,"3,15","3,29","9,40",69,5.200,31,37,"7.349,00"
,1,128,nissan,gas,std,two,sedan,fwd,front,94.50,165.30,63.80,54.50,1.951,ohc,four,97,2bbl,"3,15","3,29","9,40",69,5.200,31,37,"7.299,00"
,1,128,nissan,gas,std,two,hatchback,fwd,front,94.50,165.60,63.80,53.30,2.028,ohc,four,97,2bbl,"3,15","3,29","9,40",69,5.200,31,37,"7.799,00"
,1,122,nissan,gas,std,four,sedan,fwd,front,94.50,165.30,63.80,54.50,1.971,ohc,four,97,2bbl,"3,15","3,29","9,40",69,5.200,31,37,"7.499,00"
,1,103,nissan,gas,std,four,wagon,fwd,front,94.50,170.20,63.80,53.50,2.037,ohc,four,97,2bbl,"3,15","3,29","9,40",69,5.200,31,37,"7.999,00"
,2,168,nissan,gas,std,two,hardtop,fwd,front,95.10,162.40,63.80,53.30,2.008,ohc,four,97,2bbl,"3,15","3,29","9,40",69,5.200,31,37,"8.249,00"
,0,106,nissan,gas,std,four,hatchback,fwd,front,97.20,173.40,65.20,54.70,2.324,ohc,four,120,2bbl,"3,33","3,47","8,50",97,5.200,27,34,"8.949,00"
,0,106,nissan,gas,std,four,sedan,fwd,front,97.20,173.40,65.20,54.70,2.302,ohc,four,120,2bbl,"3,33","3,47","8,50",97,5.200,27,34,"9.549,00"
,0,128,nissan,gas,std,four,sedan,fwd,front,100.40,181.70,66.50,55.10,3.095,ohcv,six,181,mpfi,"3,43","3,27","9,00",152,5.200,17,22,"13.499,00"
,0,108,nissan,gas,std,four,wagon,fwd,front,100.40,184.60,66.50,56.10,3.296,ohcv,six,181,mpfi,"3,43","3,27","9,00",152,5.200,17,22,"14.399,00"
,0,108,nissan,gas,std,four,sedan,fwd,front,100.40,184.60,66.50,55.10,3.060,ohcv,six,181,mpfi,"3,43","3,27","9,00",152,5.200,19,25,"13.499,00"
,3,194,nissan,gas,std,two,hatchback,rwd,front,91.30,170.70,67.90,49.70,3.071,ohcv,six,181,mpfi,"3,43","3,27","9,00",160,5.200,19,25,"17.199,00"
,3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.30,170.70,67.90,49.70,3.139,ohcv,six,181,mpfi,"3,43","3,27","7,80",200,5.200,17,23,"19.699,00"
,1,231,nissan,gas,std,two,hatchback,rwd,front,99.20,178.50,67.90,49.70,3.139,ohcv,six,181,mpfi,"3,43","3,27","9,00",160,5.200,19,25,"18.399,00"
,0,161,peugot,gas,std,four,sedan,rwd,front,107.90,186.70,68.40,56.70,3.020,l,four,120,mpfi,"3,46","3,19","8,40",97,5.000,19,24,"11.900,00"
,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.90,186.70,68.40,56.70,3.197,l,four,152,idi,"3,70","3,52","21,00",95,4.150,28,33,"13.200,00"
,0,,peugot,gas,std,four,wagon,rwd,front,114.20,198.90,68.40,58.70,3.230,l,four,120,mpfi,"3,46","3,19","8,40",97,5.000,19,24,"12.440,00"
,0,,peugot,diesel,turbo,four,wagon,rwd,front,114.20,198.90,68.40,58.70,3.430,l,four,152,idi,"3,70","3,52","21,00",95,4.150,25,25,"13.860,00"
,0,161,peugot,gas,std,four,sedan,rwd,front,107.90,186.70,68.40,56.70,3.075,l,four,120,mpfi,"3,46","2,19","8,40",95,5.000,19,24,"15.580,00"
,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.90,186.70,68.40,56.70,3.252,l,four,152,idi,"3,70","3,52","21,00",95,4.150,28,33,"16.900,00"
,0,,peugot,gas,std,four,wagon,rwd,front,114.20,198.90,68.40,56.70,3.285,l,four,120,mpfi,"3,46","2,19","8,40",95,5.000,19,24,"16.695,00"
,0,,peugot,diesel,turbo,four,wagon,rwd,front,114.20,198.90,68.40,58.70,3.485,l,four,152,idi,"3,70","3,52","21,00",95,4.150,25,25,"17.075,00"
,0,161,peugot,gas,std,four,sedan,rwd,front,107.90,186.70,68.40,56.70,3.075,l,four,120,mpfi,"3,46","3,19","8,40",97,5.000,19,24,"16.630,00"
,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.90,186.70,68.40,56.70,3.252,l,four,152,idi,"3,70","3,52","21,00",95,4.150,28,33,"17.950,00"
,0,161,peugot,gas,turbo,four,sedan,rwd,front,108.00,186.70,68.30,56.00,3.130,l,four,134,mpfi,"3,61","3,21","7,00",142,5.600,18,24,"18.150,00"
,1,119,plymouth,gas,std,two,hatchback,fwd,front,93.70,157.30,63.80,50.80,1.918,ohc,four,90,2bbl,"2,97","3,23","9,40",68,5.500,37,41,"5.572,00"
,1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.70,157.30,63.80,50.80,2.128,ohc,four,98,spdi,"45,354,00","3,39","7,60",102,5.500,24,30,"7.957,00"
,1,154,plymouth,gas,std,four,hatchback,fwd,front,93.70,157.30,63.80,50.60,1.967,ohc,four,90,2bbl,"2,97","3,23","9,40",68,5.500,31,38,"6.229,00"
,1,154,plymouth,gas,std,four,sedan,fwd,front,93.70,167.30,63.80,50.80,1.989,ohc,four,90,2bbl,"2,97","3,23","9,40",68,5.500,31,38,"6.692,00"
,1,154,plymouth,gas,std,four,sedan,fwd,front,93.70,167.30,63.80,50.80,2.191,ohc,four,98,2bbl,"2,97","3,23","9,40",68,5.500,31,38,"7.609,00"
,-1,74,plymouth,gas,std,four,wagon,fwd,front,103.30,174.60,64.60,59.80,2.535,ohc,four,122,2bbl,"3,35","3,46","8,50",88,5.000,24,30,"8.921,00"
,3,,plymouth,gas,turbo,two,hatchback,rwd,front,95.90,173.20,66.30,50.20,2.818,ohc,four,156,spdi,"3,59","3,86","7,00",145,5.000,19,24,"12.764,00"
,3,186,porsche,gas,std,two,hatchback,rwd,front,94.50,168.90,68.30,50.20,2.778,ohc,four,151,mpfi,"3,94","45,599,00","9,50",143,5.500,19,27,"22.018,00"
,3,,porsche,gas,std,two,hardtop,rwd,rear,89.50,168.90,65.00,51.60,2.756,ohcf,six,194,mpfi,"3,74","2,90","9,50",207,5.900,17,25,"32.528,00"
,3,,porsche,gas,std,two,hardtop,rwd,rear,89.50,168.90,65.00,51.60,2.756,ohcf,six,194,mpfi,"3,74","2,90","9,50",207,5.900,17,25,"34.028,00"
,3,,porsche,gas,std,two,convertible,rwd,rear,89.50,168.90,65.00,51.60,2.800,ohcf,six,194,mpfi,"3,74","2,90","9,50",207,5.900,17,25,"37.028,00"
,1,,porsche,gas,std,two,hatchback,rwd,front,98.40,175.70,72.30,50.50,3.366,dohcv,eight,203,mpfi,"3,94","45,599,00","10,00",288,5.750,17,28,
,0,,renault,gas,std,four,wagon,fwd,front,96.10,181.50,66.50,55.20,2.579,ohc,four,132,mpfi,"3,46","3,90","8,70",,,23,31,"9.295,00"
,2,,renault,gas,std,two,hatchback,fwd,front,96.10,176.80,66.60,50.50,2.460,ohc,four,132,mpfi,"3,46","3,90","8,70",,,23,31,"9.895,00"
,3,150,saab,gas,std,two,hatchback,fwd,front,99.10,186.60,66.50,56.10,2.658,ohc,four,121,mpfi,"3,54","45,476,00","9,31",110,5.250,21,28,"11.850,00"
,2,104,saab,gas,std,four,sedan,fwd,front,99.10,186.60,66.50,56.10,2.695,ohc,four,121,mpfi,"3,54","45,476,00","9,30",110,5.250,21,28,"12.170,00"
,3,150,saab,gas,std,two,hatchback,fwd,front,99.10,186.60,66.50,56.10,2.707,ohc,four,121,mpfi,"2,54","45,475,00","9,30",110,5.250,21,28,"15.040,00"
,2,104,saab,gas,std,four,sedan,fwd,front,99.10,186.60,66.50,56.10,2.758,ohc,four,121,mpfi,"3,54","45,476,00","9,30",110,5.250,21,28,"15.510,00"
,3,150,saab,gas,turbo,two,hatchback,fwd,front,99.10,186.60,66.50,56.10,2.808,dohc,four,121,mpfi,"3,54","45,476,00","9,00",160,5.500,19,26,"18.150,00"
,2,104,saab,gas,turbo,four,sedan,fwd,front,99.10,186.60,66.50,56.10,2.847,dohc,four,121,mpfi,"3,54","45,476,00","9,00",160,5.500,19,26,"18.620,00"
,2,83,subaru,gas,std,two,hatchback,fwd,front,93.70,156.90,63.40,53.70,2.050,ohcf,four,97,2bbl,"3,62","2,36","9,00",69,4.900,31,36,"5.118,00"
,2,83,subaru,gas,std,two,hatchback,fwd,front,93.70,157.90,63.60,53.70,2.120,ohcf,four,108,2bbl,"3,62","2,64","8,70",73,4.400,26,31,"7.053,00"
,2,83,subaru,gas,std,two,hatchback,4wd,front,93.30,157.30,63.80,55.70,2.240,ohcf,four,108,2bbl,"3,62","2,64","8,70",73,4.400,26,31,"7.603,00"
,0,102,subaru,gas,std,four,sedan,fwd,front,97.20,172.00,65.40,52.50,2.145,ohcf,four,108,2bbl,"3,62","2,64","9,50",82,4.800,32,37,"7.126,00"
,0,102,subaru,gas,std,four,sedan,fwd,front,97.20,172.00,65.40,52.50,2.190,ohcf,four,108,2bbl,"3,62","2,64","9,50",82,4.400,28,33,"7.775,00"
,0,102,subaru,gas,std,four,sedan,fwd,front,97.20,172.00,65.40,52.50,2.340,ohcf,four,108,mpfi,"3,62","2,64","9,00",94,5.200,26,32,"9.960,00"
,0,102,subaru,gas,std,four,sedan,4wd,front,97.00,172.00,65.40,54.30,2.385,ohcf,four,108,2bbl,"3,62","2,64","9,00",82,4.800,24,25,"9.233,00"
,0,102,subaru,gas,turbo,four,sedan,4wd,front,97.00,172.00,65.40,54.30,2.510,ohcf,four,108,mpfi,"3,62","2,64","7,70",111,4.800,24,29,"11.259,00"
,0,89,subaru,gas,std,four,wagon,fwd,front,97.00,173.50,65.40,53.00,2.290,ohcf,four,108,2bbl,"3,62","2,64","9,00",82,4.800,28,32,"7.463,00"
,0,89,subaru,gas,std,four,wagon,fwd,front,97.00,173.50,65.40,53.00,2.455,ohcf,four,108,mpfi,"3,62","2,64","9,00",94,5.200,25,31,"10.198,00"
,0,85,subaru,gas,std,four,wagon,4wd,front,96.90,173.60,65.40,54.90,2.420,ohcf,four,108,2bbl,"3,62","2,64","9,00",82,4.800,23,29,"8.013,00"
